ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.17890147807776968,0.18219831312212018,0.010447535542674384,0.14102505825512315,0.5707852528015331,0.2123941886952945,0.07852088039143809,0.613949680858573,0.06037031136431719,0.05528003070601222,0.20980642712272207,0.02135306096978325,0.18403304010933966,0.08970277082388423,0.8862718980814568,0.1047369551533411,0.005943638897452551,0.8170948910763688,0.17200075485159097,0.8113851811706347,0.44512113272542103,0.2743999346121843,0.09621220372345635,0.09579154194986743
4,0.26040538636975785,0.09911414514595442,0.16156174979940932,0.8511863819372342,0.3929337967059897,0.49631743527219235,0.4823597016874325,0.7526455571467099,0.10294680928570235,0.00755531866356344,0.8772454559110163,0.03839259381448575,0.2558923332926329,0.49632814100314504,0.34353728918903154,0.041337121497907726,0.9013898655477777,0.12535460234345697,0.08859795970048877,0.6827680743964296,0.49023892216154796,0.3603892293917571,0.1627391485752366,0.0008835198748101576
5,0.18145503325942,0.0832807640226733,0.0014450927128513067,0.28821084262347485,0.3219194112150479,0.7574976094236939,0.10862059981862923,0.7618355846355913,0.017317501783028894,0.008642580350559443,0.9989301061759093,0.03559455627448765,0.11296131956290623,0.11270317602393494,0.15311120845371498,0.6656363319379769,0.005024346798439861,0.33192661873911067,0.3314173303404832,0.029589832803745074,0.24246247841674282,0.5691271213940662,0.264360459182598,0.09964122881165065
6,0.1656426879781245,0.182449794536181,0.0029288109402019606,0.4173686669281927,0.3718440539708832,0.11987998253130384,0.4307739790725427,0.7802929683830325,0.08449828695130719,0.018487664590017584,0.922201015759387,0.43609695697312933,0.2825385966042395,0.016802830079290773,0.6973063815406216,0.17614352838599617,0.9000056781550309,0.5201533240468086,0.3095388691807083,0.0030849466356585417,0.45671168794993944,0.37678248843930556,0.4174404550252639,0.0001485991359664
7,0.09116417017173033,0.23856980476528186,0.06362706886755518,0.042166237330727045,0.3300595591814704,0.14108664014492828,0.21151321758000036,0.36580952890886853,0.052789311421156,0.1382114591056985,0.9888977213090013,0.023163135243709707,0.914659072924451,0.027054146734823745,0.06540779914023609,0.3178252743780543,8.34482590387803e-05,0.36225995647415415,0.959013976912183,0.11553805515797053,0.10317436124313423,0.5980915109922966,0.027123251872954595,7.937077809457135e-05
9,0.31865082015590473,0.19550379569107923,0.016609463389415987,0.7795611261457547,0.3857139564382855,0.34020810096258713,0.14963866792143612,0.737519250958812,0.053086525921172786,0.018783136527834608,0.5467562486362909,0.5740142507506524,0.10951123740343112,0.1306496709353769,0.2841836092052912,0.06148371248377541,0.010127472919439015,0.15257731382717302,0.18654724212575638,0.11548862359007293,0.3744650793041605,0.3483546636982801,0.35768364238944467,0.003574362394643807
11,0.3410438449472619,0.27866507948285574,0.282412631069781,0.8214077531660092,0.3409124991403041,0.24946705869767524,0.9759483063610127,0.39714631068057604,0.13347284715636568,0.017350739412124352,0.411440185205587,0.24468910417783524,0.07931904464405788,0.8888526745253432,0.8661827879176994,0.015341306644632345,0.9000490659986099,0.4743547895499587,0.2608667827907745,0.8973847057386952,0.6396674313926768,0.1196921508126232,0.17123310356509863,0.0001640520856189175
13,0.40335108974009604,0.14297261651747023,0.014890280258194442,0.12565587744734974,0.567007363100885,0.6356887699826339,0.027867921081562632,0.6447629531584301,0.062393404332360375,0.012830218293967384,0.9218765942171643,0.22776093113497836,0.10634552758918715,0.17791692977204887,0.42310848752695535,0.15240684687962008,0.6682397072231874,0.4477236523926068,0.23849045315561523,0.8264100063159631,0.14932293100163324,0.5447082997032687,0.05671869983479757,0.0002927086815840143
16,0.07353428310288945,0.08903128240191979,0.0029335211754860095,0.17775907297255022,0.47007450083180236,0.1110079238360567,0.05494244329291841,0.7057432805537466,0.03523983899011044,0.017328303960918223,0.8841314736769775,0.315268369743091,0.3251545603864232,0.05672280446893034,0.11572930891763966,0.14176189403812575,0.26014846849783374,0.7914539100348723,0.19040005920650607,0.2027531086755269,0.12027389619605641,0.40063773499990074,0.03277740221327292,0.0006184478156312068
21,0.1417537475237094,0.26135711920980587,0.3935955239782115,0.09942257912761399,0.8624717269410259,0.28748273462447155,0.09176646447825436,0.6560612206767023,0.2569854738750201,0.024570204857750987,0.5045918865658532,0.0971753236104395,0.07529188328442388,0.1606805377648549,0.3699043218489429,0.03179009323946231,0.01127727220857324,0.710725904826891,0.13588841556682343,0.1966050231008272,0.49115136227992445,0.06798369174273866,0.040315205430249614,5.313866947245063e-05
