ID,p_Action,p_Adventure,p_Animation,p_Biography,p_Comedy,p_Crime,p_Documentary,p_Drama,p_Family,p_Fantasy,p_Film-Noir,p_History,p_Horror,p_Music,p_Musical,p_Mystery,p_News,p_Romance,p_Sci-Fi,p_Short,p_Sport,p_Thriller,p_War,p_Western
1,0.07026005488169813,0.058177264932999746,0.017769306521351835,0.026365099664053773,0.3655202613442727,0.08954996958417143,0.020676985222046213,0.6390936348829322,0.02884607727235732,0.09827811136584479,0.022357897099433612,0.01814800625496871,0.055079366531089184,0.024107710562134125,0.037156057423004894,0.05769421511849338,0.000721957751933856,0.686380361103148,0.04479326370608157,0.009893916172701876,0.020649264269451302,0.1401784342680465,0.023145080335443317,0.0290553391855502
4,0.1359726745345322,0.02343914155790114,0.022855224040273958,0.18819355618873274,0.1808385625785978,0.3241142210400144,0.06528045542613202,0.8014437982226393,0.01881281803019594,0.01659448736413998,0.013527751276207622,0.041525570694921944,0.07812601919467467,0.035855695399687436,0.021910048154217092,0.02962075181724113,0.0009117526809315895,0.0601761089743558,0.024431935917688573,0.017140637698978486,0.026296084509275345,0.21774823361995668,0.04482140373452546,0.030483062848543876
5,0.0770087183589582,0.032437551844624296,0.013065954886601257,0.03670190033999279,0.1645462444691568,0.5879287193331009,0.028169697112214728,0.762746277243597,0.021431967292540637,0.029683495012393663,0.04733540045946011,0.021812659367888506,0.04724076941685419,0.02698211479099419,0.01896658244332539,0.34223419763288904,0.0007396777349440667,0.13667428710182503,0.06104710573969572,0.007971823974285893,0.016197065819647586,0.3922210430075196,0.021850875596133888,0.02069165887066317
6,0.07681006727570937,0.06877836042196109,0.016777295271406548,0.06972862429600721,0.19690053449201356,0.05313487714422701,0.04301139584030737,0.7606716591333185,0.04950840205327906,0.05332834026367393,0.02976909965767218,0.04970836649608197,0.09388541155475381,0.026017125560345064,0.034631736528176985,0.07380822305142522,0.0007920281150778233,0.20468169486425503,0.074552531469852,0.006817580594380649,0.027558413204803532,0.23924355092362945,0.06967045699011644,0.0194603967668439
7,0.048650130928598816,0.05346286142875137,0.02296655571220004,0.015557919265215702,0.19989107437323023,0.07035582420591903,0.03129745795584027,0.28184265465741104,0.037563278750201844,0.17377783507750352,0.04312738481204222,0.014001620328587714,0.7098223655771424,0.01399028977850185,0.01748825758160971,0.13098646966393576,0.0007351436630030048,0.14969637020833532,0.5756574192604751,0.009494117426743824,0.010789189746107814,0.2980121614127444,0.019400222050114695,0.019646058623273847
9,0.12977411391039959,0.07241149287678456,0.017220987837680814,0.05872458538680064,0.2640174408479772,0.1829847016487925,0.06585611892132366,0.6851927085886893,0.03640599223874079,0.0555450426382262,0.019422080822057455,0.08124707226419933,0.05758873737029058,0.034504405327462344,0.02016414245637996,0.05334408388473953,0.0007390927503469566,0.07464044838804504,0.045399608379948074,0.011666425091394102,0.03149703036061993,0.23944761483145482,0.038887844906367264,0.022675606361275056
11,0.11848839810276764,0.08988254582779322,0.04946387886857301,0.10442185128713895,0.21204061817258205,0.11979321137547964,0.30824259695041634,0.29684437010637266,0.12397460684500329,0.06699134098620649,0.015063094225415408,0.0680768929578604,0.026494608982732117,0.33837385033679057,0.06215034669691326,0.016278852080308777,0.0011270933131074243,0.2151504130414722,0.046894757160554,0.017275379953020656,0.037734964519370036,0.06152458806373298,0.01926257026373028,0.019334124050126533
13,0.2227080146870552,0.041612407260543355,0.019146661836236627,0.026057376635479267,0.42716653460187565,0.43730132357386803,0.018086637246254072,0.5923389287893079,0.039558374555799455,0.041458058001324904,0.02356488543708318,0.022742060114572565,0.036861822511863415,0.023509913204554513,0.027371349734898652,0.036232095867628586,0.0007454866700725105,0.19930050968162707,0.042131933041583434,0.010515107379586544,0.0172667478737785,0.37023218697765176,0.023546898765446234,0.015449886256874861
16,0.03757899854306786,0.03292568401544725,0.013883966763964101,0.03383280268989916,0.3288801434605959,0.053683612823490864,0.022907706304861147,0.7190086571009083,0.0328369903004377,0.05052381892152354,0.02098316426220446,0.018004149390681606,0.10398517122341781,0.02471910559852854,0.026387535351964152,0.08442882592421776,0.0007122551314955994,0.5688143107382448,0.028060733347496997,0.007070260005117736,0.014061601771740729,0.17112838867343244,0.027685660789091907,0.01280433506005976
21,0.06704493945924025,0.09137159020789604,0.030725280458409155,0.031056564363300353,0.6976937669890467,0.1581669576981056,0.0330263207471225,0.6744528330769923,0.08399717164682274,0.06306490560466363,0.01261640700546058,0.026571351245914664,0.02508857987523879,0.03489817539921071,0.029449035906084085,0.027900744329041306,0.0007401965471937745,0.40047132365580723,0.03861831478163326,0.010459681693619459,0.02711352540376064,0.043901587194562566,0.020446326354283263,0.025082491832133465
